id_local,id_distrito_local,desc_distrito_local,id_barrio_local,desc_barrio_local,cod_barrio_local,id_seccion_censal_local,desc_seccion_censal_local,coordenada_x_local,coordenada_y_local,id_tipo_acceso_local,desc_tipo_acceso_local,id_situacion_local,desc_situacion_local,id_vial_edificio,clase_vial_edificio,desc_vial_edificio,id_ndp_edificio,id_clase_ndp_edificio,nom_edificio,num_edificio,cal_edificio,secuencial_local_PC,id_vial_acceso,clase_vial_acceso,desc_vial_acceso,id_ndp_acceso,id_clase_ndp_acceso,nom_acceso,num_acceso,cal_acceso,coordenada_x_agrupacion,coordenada_y_agrupacion,id_agrupacion,nombre_agrupacion,id_tipo_agrup,desc_tipo_agrup,id_planta_agrupado,id_local_agrupado,rotulo,id_seccion,desc_seccion,id_division,desc_division,id_epigrafe,desc_epigrafe,fx_carga,calle_norm,numero_norm,clave_cruce,lat_censo,lon_censo
10000003,1.0,CENTRO              ,104.0,JUSTICIA            ,4.0,1088.0,88,440554.59,4475338.53,1,Puerta Calle,1,Abierto,92900.0,CALLE                   ,BARCELO                                           ,11005235,1,NUM,5.0,  ,10,92900.0,CALLE                   ,BARCELO                                           ,11005235.0,1.0,NUM,5.0,  ,,,,,,,1,03,VITACA,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561004,BAR RESTAURANTE,13/09/2026,BARCELO,5,BARCELO|5,40.426558398308345,-3.70078794547475
10000004,1.0,CENTRO              ,105.0,UNIVERSIDAD         ,5.0,1106.0,106,439945.6,4475591.53,1,Puerta Calle,1,Abierto,4700.0,CALLE                   ,ACUERDO                                           ,11006452,1,NUM,31.0,  ,10,4700.0,CALLE                   ,ACUERDO                                           ,11006452.0,1.0,NUM,31.0,  ,,,,,,,1,02,ZAATAR & CO,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561001,RESTAURANTE,13/09/2026,ACUERDO,31,ACUERDO|31,40.42879379733692,-3.707990567350437
10000052,1.0,CENTRO              ,104.0,JUSTICIA            ,4.0,1082.0,82,440875.59,4475142.52,1,Puerta Calle,1,Abierto,678900.0,TRAVESIA                ,SAN MATEO                                         ,11005006,1,NUM,17.0,  ,10,576200.0,CALLE                   ,PELAYO                                            ,11004968.0,1.0,NUM,57.0,  ,,,,,,,1,IZ,MUNE,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561004,BAR RESTAURANTE,13/09/2026,SAN MATEO,17,SAN MATEO|17,40.424815522972786,-3.696985791012152
10000071,1.0,CENTRO              ,106.0,SOL                 ,6.0,1119.0,119,440388.59,4474077.53,1,Puerta Calle,1,Abierto,93000.0,CALLE                   ,BARCELONA                                         ,11007454,1,NUM,12.0,  ,10,93000.0,CALLE                   ,BARCELONA                                         ,11007454.0,1.0,NUM,12.0,  ,,,,,,,1,IZ,LA DESCUBIERTA,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561001,RESTAURANTE,13/09/2026,BARCELONA,12,BARCELONA|12,40.415186843723276,-3.702626541025942
10000097,1.0,CENTRO              ,104.0,JUSTICIA            ,4.0,1077.0,77,440851.59,4474857.52,1,Puerta Calle,1,Abierto,81800.0,CALLE                   ,AUGUSTO FIGUEROA                                  ,11004589,1,NUM,37.0,  ,20,437400.0,CALLE                   ,LIBERTAD                                          ,11004588.0,1.0,NUM,31.0,  ,,,,,,,1,02,"GRACIAS, PADRE",I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561001,RESTAURANTE,13/09/2026,AUGUSTO FIGUEROA,37,AUGUSTO FIGUEROA|37,40.42224640226109,-3.6972421836449936
10000264,1.0,CENTRO              ,106.0,SOL                 ,6.0,1124.0,124,440226.59,4474520.53,1,Puerta Calle,1,Abierto,505100.0,CALLE                   ,MESONERO ROMANOS                                  ,11007866,1,NUM,4.0,  ,10,505100.0,CALLE                   ,MESONERO ROMANOS                                  ,11007866.0,1.0,NUM,4.0,  ,,,,,,,1,DR,VALDEMESO,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561004,BAR RESTAURANTE,13/09/2026,MESONERO ROMANOS,4,MESONERO ROMANOS|4,40.41916597642216,-3.704577492346443
10000284,1.0,CENTRO              ,103.0,CORTES              ,3.0,1065.0,65,440755.59,4473926.52,1,Puerta Calle,1,Abierto,441000.0,CALLE                   ,LOPE DE VEGA                                      ,11003525,1,NUM,9.0,  ,10,441000.0,CALLE                   ,LOPE DE VEGA                                      ,11003525.0,1.0,NUM,9.0,  ,,,,,,,1,01,RESTAURANTE DAR MONA,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561001,RESTAURANTE,13/09/2026,LOPE DE VEGA,9,LOPE DE VEGA|9,40.41385267792257,-3.6982870352777617
10000325,1.0,CENTRO              ,101.0,PALACIO             ,1.0,1006.0,6,439756.6,4474372.53,1,Puerta Calle,1,Abierto,776900.0,CALLE                   ,VERGARA                                           ,11000323,1,NUM,1.0,  ,10,776900.0,CALLE                   ,VERGARA                                           ,11000323.0,1.0,NUM,1.0,  ,,,,,,,1,01,NEMRUT KEBAB PIZZA,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561001,RESTAURANTE,13/09/2026,VERGARA,1,VERGARA|1,40.41779883290804,-3.710103066909489
10000385,1.0,CENTRO              ,103.0,CORTES              ,3.0,1064.0,64,440893.59,4473847.52,1,Puerta Calle,1,Abierto,369000.0,CALLE                   ,HUERTAS                                           ,11003456,1,NUM,54.0,  ,10,369000.0,CALLE                   ,HUERTAS                                           ,11003456.0,1.0,NUM,54.0,  ,,,,,,,1,A,DC RESTAURANTE,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561001,RESTAURANTE,13/09/2026,HUERTAS,54,HUERTAS|54,40.41315081874815,-3.69665326628817
10000442,1.0,CENTRO              ,102.0,EMBAJADORES         ,2.0,1042.0,42,440471.59,4473306.53,1,Puerta Calle,1,Abierto,754400.0,CALLE                   ,TRIBULETE                                         ,20156973,1,NUM,4.0, A,10,754400.0,CALLE                   ,TRIBULETE                                         ,20156973.0,1.0,NUM,4.0, A,,,,,,,1,01,RESTAURANTE LA ALHAMBRA,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561001,RESTAURANTE,13/09/2026,TRIBULETE,4,TRIBULETE|4,40.40824724396273,-3.701576171883767
