osm_id,osm_type,lat,lon,name,cuisine,addr_street,addr_housenumber,addr_postcode,addr_city,phone,website,opening_hours,outdoor_seating,takeaway,delivery,wheelchair,calle_norm_osm,numero_norm_osm,clave_cruce,id_local,id_distrito_local,desc_distrito_local,id_barrio_local,desc_barrio_local,cod_barrio_local,id_seccion_censal_local,desc_seccion_censal_local,coordenada_x_local,coordenada_y_local,id_tipo_acceso_local,desc_tipo_acceso_local,id_situacion_local,desc_situacion_local,id_vial_edificio,clase_vial_edificio,desc_vial_edificio,id_ndp_edificio,id_clase_ndp_edificio,nom_edificio,num_edificio,cal_edificio,secuencial_local_PC,id_vial_acceso,clase_vial_acceso,desc_vial_acceso,id_ndp_acceso,id_clase_ndp_acceso,nom_acceso,num_acceso,cal_acceso,coordenada_x_agrupacion,coordenada_y_agrupacion,id_agrupacion,nombre_agrupacion,id_tipo_agrup,desc_tipo_agrup,id_planta_agrupado,id_local_agrupado,rotulo,id_seccion,desc_seccion,id_division,desc_division,id_epigrafe,desc_epigrafe,fx_carga,calle_norm_censo,numero_norm_censo,metodo_match
26065697,node,40.4287093,-3.701972,Café Comercial,,Glorieta de Bilbao,7,28004,Madrid,+34 910 88 25 25,https://cafecomercialmadrid.com/,Mo-Th 08:30-01:00; Fr-Su 08:30-02:00,,,,,BILBAO,7,BILBAO|7,270047371.0,1.0,CENTRO              ,104.0,JUSTICIA            ,4.0,1089.0,89.0,440458.6,4475584.53,1.0,Puerta Calle,1.0,Abierto,106800.0,GLORIETA                ,BILBAO                                            ,11005282.0,1.0,NUM,7.0,  ,10.0,106800.0,GLORIETA                ,BILBAO                                            ,11005282.0,1.0,NUM,7.0,  ,,,,,,,1,CT,S/R,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561002,RESTAURANTES DE COMIDA RAPIDA,13/09/2026,BILBAO,7,direccion
26065699,node,40.4270276,-3.7016997,Honest Greens,organic,Calle de Fuencarral,95,28004,Madrid,,https://honestgreens.com/,"Mo-Th 08:30-23:00, Fr 08:30-24:00, Sa 09:30-24:00, Su,PH 09:30-23:00",,,,no,FUENCARRAL,95,FUENCARRAL|95,10001802.0,1.0,CENTRO              ,105.0,UNIVERSIDAD         ,5.0,1093.0,93.0,440474.59,4475401.53,1.0,Puerta Calle,1.0,Abierto,313100.0,CALLE                   ,FUENCARRAL                                        ,11005485.0,1.0,NUM,95.0,  ,20.0,313100.0,CALLE                   ,FUENCARRAL                                        ,11005485.0,1.0,NUM,95.0,  ,,,,,,,1,DR1,LA MUCCA,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561004,BAR RESTAURANTE,13/09/2026,FUENCARRAL,95,direccion
26065699,node,40.4270276,-3.7016997,Honest Greens,organic,Calle de Fuencarral,95,28004,Madrid,,https://honestgreens.com/,"Mo-Th 08:30-23:00, Fr 08:30-24:00, Sa 09:30-24:00, Su,PH 09:30-23:00",,,,no,FUENCARRAL,95,FUENCARRAL|95,10003486.0,1.0,CENTRO              ,105.0,UNIVERSIDAD         ,5.0,1093.0,93.0,440472.59,4475407.53,1.0,Puerta Calle,1.0,Abierto,313100.0,CALLE                   ,FUENCARRAL                                        ,11005485.0,1.0,NUM,95.0,  ,30.0,313100.0,CALLE                   ,FUENCARRAL                                        ,11005485.0,1.0,NUM,95.0,  ,,,,,,,1,DR,SIN RÓTULO,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561004,BAR RESTAURANTE,13/09/2026,FUENCARRAL,95,direccion
26065699,node,40.4270276,-3.7016997,Honest Greens,organic,Calle de Fuencarral,95,28004,Madrid,,https://honestgreens.com/,"Mo-Th 08:30-23:00, Fr 08:30-24:00, Sa 09:30-24:00, Su,PH 09:30-23:00",,,,no,FUENCARRAL,95,FUENCARRAL|95,270403727.0,1.0,CENTRO              ,105.0,UNIVERSIDAD         ,5.0,1093.0,93.0,440477.59,4475389.53,1.0,Puerta Calle,1.0,Abierto,313100.0,CALLE                   ,FUENCARRAL                                        ,11005485.0,1.0,NUM,95.0,  ,10.0,313100.0,CALLE                   ,FUENCARRAL                                        ,11005485.0,1.0,NUM,95.0,  ,,,,,,,1,IZ,HONEST GREEN,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561001,RESTAURANTE,13/09/2026,FUENCARRAL,95,direccion
26808568,node,40.4257656,-3.7120898,La Parrilla de Nino,,Plaza de Cristino Martos,2,28015,Madrid,+34 915 59 60 11,,,yes,,,limited,CRISTINO MARTOS,2,CRISTINO MARTOS|2,270361975.0,1.0,CENTRO              ,105.0,UNIVERSIDAD         ,5.0,1108.0,108.0,439590.6,4475254.54,1.0,Puerta Calle,1.0,Abierto,218500.0,PLAZA                   ,CRISTINO MARTOS                                   ,11006548.0,1.0,NUM,2.0,  ,20.0,218500.0,PLAZA                   ,CRISTINO MARTOS                                   ,11006548.0,1.0,NUM,2.0,  ,,,,,,,1,DR,CERVECERÍA NINO,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561004,BAR RESTAURANTE,13/09/2026,CRISTINO MARTOS,2,direccion
26808568,node,40.4257656,-3.7120898,La Parrilla de Nino,,Plaza de Cristino Martos,2,28015,Madrid,+34 915 59 60 11,,,yes,,,limited,CRISTINO MARTOS,2,CRISTINO MARTOS|2,280010893.0,1.0,CENTRO              ,105.0,UNIVERSIDAD         ,5.0,1108.0,108.0,439583.6,4475244.54,1.0,Puerta Calle,1.0,Abierto,218500.0,PLAZA                   ,CRISTINO MARTOS                                   ,11006548.0,1.0,NUM,2.0,  ,10.0,218500.0,PLAZA                   ,CRISTINO MARTOS                                   ,11006548.0,1.0,NUM,2.0,  ,,,,,,,1,IZ,MÜR,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561001,RESTAURANTE,13/09/2026,CRISTINO MARTOS,2,direccion
26808571,node,40.42514,-3.7118533,Taj Mahal,indian,Calle del Duque de Osuna,6,28015,Madrid,+34 917 377 090,https://www.restaurantetajmahal.es/,,yes,yes,,no,DUQUE DE OSUNA,6,DUQUE DE OSUNA|6,270237092.0,1.0,CENTRO              ,105.0,UNIVERSIDAD         ,5.0,1111.0,111.0,439613.6,4475189.54,1.0,Puerta Calle,1.0,Abierto,253800.0,CALLE                   ,DUQUE DE OSUNA                                    ,11006751.0,1.0,NUM,6.0,  ,10.0,253800.0,CALLE                   ,DUQUE DE OSUNA                                    ,11006751.0,1.0,NUM,6.0,  ,,,,,,,1,01,TAJ MAHAL,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561001,RESTAURANTE,13/09/2026,DUQUE DE OSUNA,6,direccion
26808571,node,40.42514,-3.7118533,Taj Mahal,indian,Calle del Duque de Osuna,6,28015,Madrid,+34 917 377 090,https://www.restaurantetajmahal.es/,,yes,yes,,no,DUQUE DE OSUNA,6,DUQUE DE OSUNA|6,270530885.0,1.0,CENTRO              ,105.0,UNIVERSIDAD         ,5.0,1111.0,111.0,439615.6,4475181.54,1.0,Puerta Calle,1.0,Abierto,253800.0,CALLE                   ,DUQUE DE OSUNA                                    ,11006751.0,1.0,NUM,6.0,  ,20.0,253800.0,CALLE                   ,DUQUE DE OSUNA                                    ,11006751.0,1.0,NUM,6.0,  ,,,,,,,1,EX1,LA VENGANZA DE MELINCHE,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561001,RESTAURANTE,13/09/2026,DUQUE DE OSUNA,6,direccion
27507931,node,40.4252476,-3.6963836,Sexto,,Calle de Fernando VI,6,28004,Madrid,+34 608566104,http://thesexto.com/,,,,,,FERNANDO VI,6,FERNANDO VI|6,270552682.0,1.0,CENTRO              ,104.0,JUSTICIA            ,4.0,1079.0,79.0,440927.59,4475192.52,1.0,Puerta Calle,1.0,Abierto,295400.0,CALLE                   ,FERNANDO VI                                       ,11004794.0,1.0,NUM,6.0,  ,10.0,295400.0,CALLE                   ,FERNANDO VI                                       ,11004794.0,1.0,NUM,6.0,  ,,,,,,,0,01,RÓTULO NO INFORMADO,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561004,BAR RESTAURANTE,13/09/2026,FERNANDO VI,6,direccion
47215976,node,40.4116487,-3.7101786,El Viajero,,Plaza de la Cebada,11,28005,Madrid,,http://www.elviajeromadrid.com/,,,,,no,CEBADA,11,CEBADA|11,270224383.0,1.0,CENTRO              ,101.0,PALACIO             ,1.0,1012.0,12.0,439740.59,4473687.53,1.0,Puerta Calle,1.0,Abierto,160000.0,PLAZA                   ,CEBADA                                            ,11000744.0,1.0,NUM,11.0,  ,10.0,160000.0,PLAZA                   ,CEBADA                                            ,11000744.0,1.0,NUM,11.0,  ,,,,,,,1,01,BAR EL VIAJERO,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561004,BAR RESTAURANTE,13/09/2026,CEBADA,11,direccion
167301973,node,40.4115676,-3.6978097,KungFu Noodle Atocha 武功牛,chinese,Calle de Atocha,68,28012,,+34910713165,https://kungfunoodle.eu/,"Mo-Su 12:00-16:00,19:30-23:30",,,,,ATOCHA,68,ATOCHA|68,270484547.0,1.0,CENTRO              ,102.0,EMBAJADORES         ,2.0,1059.0,59.0,440794.59,4473671.52,1.0,Puerta Calle,1.0,Abierto,81600.0,CALLE                   ,ATOCHA                                            ,11003162.0,1.0,NUM,68.0,  ,10.0,81600.0,CALLE                   ,ATOCHA                                            ,11003162.0,1.0,NUM,68.0,  ,,,,,,,1,A,KUNG FU NOODLE,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561001,RESTAURANTE,13/09/2026,ATOCHA,68,direccion
167302180,node,40.4122937,-3.6939658,El Fogón Verde,spanish,Calle de la Alameda,4,28014,Madrid,,https://elfogonverde.net/,,,,,no,ALAMEDA,4,ALAMEDA|4,10001545.0,1.0,CENTRO              ,103.0,CORTES              ,3.0,1063.0,63.0,441119.59,4473749.52,1.0,Puerta Calle,1.0,Abierto,12800.0,CALLE                   ,ALAMEDA                                           ,11003403.0,1.0,NUM,4.0,  ,10.0,12800.0,CALLE                   ,ALAMEDA                                           ,11003403.0,1.0,NUM,4.0,  ,,,,,,,1,DR,EL FOGON VERDE,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561001,RESTAURANTE,13/09/2026,ALAMEDA,4,direccion
167302675,node,40.4136237,-3.6960696,Terra Mundi,regional,Calle de Lope de Vega,32,28014,Madrid,+34 914295280;+34 914296380,https://terramundi.net/,"Mo 13:00-17:30, Tu-Su 13:00-17:30,20:30-24:00",,,,no,LOPE DE VEGA,32,LOPE DE VEGA|32,270406534.0,1.0,CENTRO              ,103.0,CORTES              ,3.0,1064.0,64.0,440933.59,4473899.52,1.0,Puerta Calle,1.0,Abierto,441000.0,CALLE                   ,LOPE DE VEGA                                      ,11003490.0,1.0,NUM,32.0,  ,10.0,441000.0,CALLE                   ,LOPE DE VEGA                                      ,11003490.0,1.0,NUM,32.0,  ,,,,,,,1,B,TERRAMUNDI RESTAURANTE,I,HOSTELERÍA,56,SERVICIOS DE COMIDAS Y BEBIDAS,561001,RESTAURANTE,13/09/2026,LOPE DE VEGA,32,direccion
