osm_id,osm_type,lat,lon,name,cuisine,addr_street,addr_housenumber,addr_postcode,addr_city,phone,website,opening_hours,outdoor_seating,takeaway,delivery,wheelchair,calle_norm,numero_norm,clave_cruce,distancia_metros,indice_censo,desc_barrio_local,desc_distrito_local,desc_epigrafe,id_seccion_censal_local,metodo_match
27505289,node,40.426008,-3.7115084,La Pomarada,regional,Calle del Conde Duque,,28015,Madrid,+34 915 482 792,https://lapomarada.es/,,,,,no,CONDE DUQUE,,,2.848314629323279,308,UNIVERSIDAD         ,CENTRO              ,RESTAURANTE,1108.0,proximidad
27728064,node,40.4162327,-3.7088498,Brasa y Leña,,Plaza del Comandante Las Morenas,3,28013,Madrid,,http://www.brasaylena.com/#,,,,,,COMANDANTE LAS MORENAS,3,COMANDANTE LAS MORENAS|3,1.7001355241036504,801,PALACIO             ,CENTRO              ,BAR RESTAURANTE,1007.0,proximidad
47216120,node,40.4130702,-3.7117497,La Malaje,,,,,,+34 910 81 30 31,,,,,,,,,,2.6537509784670728,559,PALACIO             ,CENTRO              ,RESTAURANTE,1016.0,proximidad
47216126,node,40.4131593,-3.7117469,Tío Timón,regional,Costanilla de San Andrés,8,28005,Madrid,,http://tiotimon.com/,,yes,,,limited,COSTANILLA DE SAN ANDRÉS,8,COSTANILLA DE SAN ANDRÉS|8,12.299043729745648,559,PALACIO             ,CENTRO              ,RESTAURANTE,1016.0,proximidad
47216198,node,40.4137154,-3.7127335,Taquería del Alamillo,,,,,,,,,,,,,,,,1.6406705018714571,626,PALACIO             ,CENTRO              ,BAR RESTAURANTE,1016.0,proximidad
167302052,node,40.4112109,-3.69567,A Cañada,,Calle de Fúcar,20,,,,,,,,,no,FÚCAR,20,FÚCAR|20,1.3797020085627967,643,CORTES              ,CENTRO              ,BAR RESTAURANTE,1061.0,proximidad
167302123,node,40.412427,-3.6963071,Arrocería Gala,,,,,,,,,,,,no,,,,1.4715917714251845,472,CORTES              ,CENTRO              ,RESTAURANTE,1066.0,proximidad
167302521,node,40.4125537,-3.6951865,Moratin 40,,Calle de Moratín,40,28014,Madrid,,,,,,,no,MORATÍN,40,MORATÍN|40,0.27815178327058077,981,CORTES              ,CENTRO              ,RESTAURANTE,1063.0,proximidad
167302661,node,40.4134319,-3.6957085,El Rábano,,,,,,,,,,,,,,,,1.5322707311212078,262,CORTES              ,CENTRO              ,RESTAURANTE,1064.0,proximidad
167302888,node,40.4169233,-3.6966322,Edelweiss,,,,,,,,,,,,yes,,,,2.832972875091627,195,CORTES              ,CENTRO              ,RESTAURANTE,1072.0,proximidad
167302891,node,40.4171806,-3.6965924,El Secreto de Castilla,,,,,,,,,,,,,,,,24.56172309110368,1019,CORTES              ,CENTRO              ,RESTAURANTE,1072.0,proximidad
167302928,node,40.416822,-3.6971908,Casa Mortero,,C. de Zorrilla,9,,,+34 910 59 55 70,https://casamortero.com/,"Mo-Fr 13:15-16:00, 20:15-23:30",,,,,C. DE ZORRILLA,9,C. DE ZORRILLA|9,5.304133224281362,470,CORTES              ,CENTRO              ,RESTAURANTE,1072.0,proximidad
