osm_id,osm_type,lat,lon,name,cuisine,addr_street,addr_housenumber,addr_postcode,addr_city,phone,website,opening_hours,outdoor_seating,takeaway,delivery,wheelchair
26065697,node,40.4287093,-3.701972,Café Comercial,,Glorieta de Bilbao,7,28004,Madrid,+34 910 88 25 25,https://cafecomercialmadrid.com/,Mo-Th 08:30-01:00; Fr-Su 08:30-02:00,,,,
26065699,node,40.4270276,-3.7016997,Honest Greens,organic,Calle de Fuencarral,95,28004,Madrid,,https://honestgreens.com/,"Mo-Th 08:30-23:00, Fr 08:30-24:00, Sa 09:30-24:00, Su,PH 09:30-23:00",,,,no
26808568,node,40.4257656,-3.7120898,La Parrilla de Nino,,Plaza de Cristino Martos,2,28015,Madrid,+34 915 59 60 11,,,yes,,,limited
26808571,node,40.42514,-3.7118533,Taj Mahal,indian,Calle del Duque de Osuna,6,28015,Madrid,+34 917 377 090,https://www.restaurantetajmahal.es/,,yes,yes,,no
27505289,node,40.426008,-3.7115084,La Pomarada,regional,Calle del Conde Duque,,28015,Madrid,+34 915 482 792,https://lapomarada.es/,,,,,no
27507931,node,40.4252476,-3.6963836,Sexto,,Calle de Fernando VI,6,28004,Madrid,+34 608566104,http://thesexto.com/,,,,,
27728064,node,40.4162327,-3.7088498,Brasa y Leña,,Plaza del Comandante Las Morenas,3,28013,Madrid,,http://www.brasaylena.com/#,,,,,
27792111,node,40.4136118,-3.7087304,Picado Fino,local,,,,,,,,,,,
47215976,node,40.4116487,-3.7101786,El Viajero,,Plaza de la Cebada,11,28005,Madrid,,http://www.elviajeromadrid.com/,,,,,no
47216120,node,40.4130702,-3.7117497,La Malaje,,,,,,+34 910 81 30 31,,,,,,
47216126,node,40.4131593,-3.7117469,Tío Timón,regional,Costanilla de San Andrés,8,28005,Madrid,,http://tiotimon.com/,,yes,,,limited
47216198,node,40.4137154,-3.7127335,Taquería del Alamillo,,,,,,,,,,,,
167301973,node,40.4115676,-3.6978097,KungFu Noodle Atocha 武功牛,chinese,Calle de Atocha,68,28012,,+34910713165,https://kungfunoodle.eu/,"Mo-Su 12:00-16:00,19:30-23:30",,,,
167302052,node,40.4112109,-3.69567,A Cañada,,Calle de Fúcar,20,,,,,,,,,no
167302123,node,40.412427,-3.6963071,Arrocería Gala,,,,,,,,,,,,no
167302180,node,40.4122937,-3.6939658,El Fogón Verde,spanish,Calle de la Alameda,4,28014,Madrid,,https://elfogonverde.net/,,,,,no
167302521,node,40.4125537,-3.6951865,Moratin 40,,Calle de Moratín,40,28014,Madrid,,,,,,,no
167302661,node,40.4134319,-3.6957085,El Rábano,,,,,,,,,,,,
167302675,node,40.4136237,-3.6960696,Terra Mundi,regional,Calle de Lope de Vega,32,28014,Madrid,+34 914295280;+34 914296380,https://terramundi.net/,"Mo 13:00-17:30, Tu-Su 13:00-17:30,20:30-24:00",,,,no
167302888,node,40.4169233,-3.6966322,Edelweiss,,,,,,,,,,,,yes
167302891,node,40.4171806,-3.6965924,El Secreto de Castilla,,,,,,,,,,,,
167302905,node,40.4173325,-3.6966034,Sagardi,,Calle de Jovellanos,3,28014,,+34 91 531 2564,https://sagardi.com/,,,,,
167302928,node,40.416822,-3.6971908,Casa Mortero,,C. de Zorrilla,9,,,+34 910 59 55 70,https://casamortero.com/,"Mo-Fr 13:15-16:00, 20:15-23:30",,,,
170952439,node,40.4051914,-3.6973199,Ramen Kagura,ramen,Calle de José Antonio Armona,12,28012,Madrid,+34915278058,https://www.ramenkagura.com/es/atocha/,,,,,
170992709,node,40.4050712,-3.6952969,Atocha Tandoori,indian,Paseo de Santa María de la Cabeza,27,28045,Madrid,+34609060283;+34911386610,https://atochatandoori.es,"Mo-Su 12:30-17:00, 19:30-00:00",no,,,
178820924,node,40.4152606,-3.7115508,Arcade,regional,Calle Mayor,73,28013,Madrid,+34 91 431 40 83,http://www.restaurantearcade.es/,,,,,
178820939,node,40.4156653,-3.7102121,Cruz Blanca,spanish,Calle Mayor,68,28013,Madrid,+34 915476715,https://cerveceriacruzblanca.es/local/cervecer%C3%ADa-cruz-blanca-madrid-mayor,,,,,no
